글제목,댓글수,작성자명,등록날짜시각,조횟수,추천수,반댓수
남친충컨셉러들 뼈 부러트리기 jpg,23,윤열이 ,2020-06-29 12:57,"34,417",537,2
방금 고백했는데 거절당했어,55,커피는원래써,2020-06-29 12:52,"22,954",289,1
유명한 누나들이 좋아요 눌러주는 금손유튜버를 보고..,15,슈팅능력은만수르,2020-06-29 12:46,"26,366",364,0
갓뚜기의 신입사원 연수.jpg,74,태랑 ,2020-06-29 12:37,"42,761",538,0
대포가 무거워야하는 이유,33,용드,2020-06-29 12:30,"31,705",245,0
롤 웃긴 하이라이트 모음.gif,29,재담꾼,2020-06-29 12:29,"24,664",183,0
대만 치약브랜드 '달리'에서 만든 진짜 킹트갓코.jpg,29,Spinus,2020-06-29 12:25,"27,402",140,1
[틱톡이슈]틱톡 앱을 리버스 엔지니어링 해본 결과 ㄷㄷㄷㄷㄷㄷㄷㄷㄷ,24,별빛여행자,2020-06-29 12:24,"23,322",460,0
한국 실제 양호선생님 성폭행 사건,24,데드풀님,2020-06-29 12:23,"40,109",622,0
논산 춤천지.gif,51,태랑 ,2020-06-29 12:14,"32,702",340,0
강형욱 학력으로 까는사람,49,데드풀님,2020-06-29 12:11,"39,973",689,1
귀 큰 멈무 밥 먹을 때.jpg,27,기룡,2020-06-29 12:05,"29,847",315,1
어느 격투게임 캐릭터  무기의 진실,33,리멤버코코,2020-06-29 11:53,"31,023",298,0
하버드의 전설적인 연설.jpg,24,용드,2020-06-29 11:51,"33,099",444,0
의외로 1971년 이후로 사라진 곤충,52,가로쉬님,2020-06-29 11:43,"38,187",499,0
여고생 침이 술 되는 만화.Manhwa,17,정학걸스데이체고시다,2020-06-29 11:37,"24,231",218,0
폰은정 살인사건.jpg,23,남몰래박고감,2020-06-29 11:30,"42,528",585,0
물 보고 신난 멍뭉이.GIF,15,브로메테우스,2020-06-29 11:29,"27,473",292,1
(사이다) 라오어2에 경고했다가 욕 먹은 유튜버,36,모오쌩김,2020-06-29 11:27,"27,308",331,0
국밥충도 끔뻑 죽는 부산의 된장찌개.jpg,44,유메린,2020-06-29 11:16,"34,747",241,0
씹덕 버스기사.jpg,16,용드,2020-06-29 11:15,"35,028",415,0
미국산 소고기 근황,23,위대한댕댕이,2020-06-29 10:57,"43,930",405,0
고속도로에서 별 미친X 다 보네 ㅋㅋㅋ,27,용드,2020-06-29 10:54,"39,242",397,0
해리포터 최종흑막,53,작성자의사진을보았다,2020-06-29 10:49,"40,185",613,0
아직 정신못차린 그 종교.corona,39,슈퍼노말,2020-06-29 10:34,"30,752",484,5
게임에서 만난 남녀가 얼사 교환하면 일어나는일.jpg,57,반반TV,2020-06-29 10:34,"58,072",625,0
골든 댕댕리버와 진도 댕댕이의 차이.JPG,33,여우o코코,2020-06-29 10:33,"35,407",575,0
미군에게 포로로 잡힌 북한군,55,시원한맥주,2020-06-29 10:23,"35,101",419,0
도라에몽 인성 논란.jpg,19,유도희o ,2020-06-29 10:19,"25,661",256,0
어째서 일본 RPG 주인공은 소년 소녀 뿐이냐는 일본 유저 . JPG,20,용드,2020-06-29 10:15,"29,757",546,0
진짜 분노조절장애.JPG,22,한형,2020-06-29 10:08,"54,543",825,0
한국 바다 최흉의 독가시를 가진 물고기.jpg,29,한형,2020-06-29 09:53,"38,296",402,0
ㄹㅇ 개좆된 태준이 jpg,26,물구나무선채로똥쌈,2020-06-29 09:51,"34,277",387,0
지단이 박지성 때문에 기물파손한 일화.jpg,32,유도희o ,2020-06-29 09:51,"38,085",532,1
약혐)깊숙히들어왔다,33,효랭이,2020-06-29 09:49,"31,789",223,0
웃대 유튜브에 나왔다,53,소금한꼬집,2020-06-29 09:28,"26,250",367,0
영화에선 제대로 연출 못한 타짜 만화 명장면.jpg,51,박다혜,2020-06-29 09:28,"56,413",876,1
왜 자기 외모를 낮게 생각하는걸까.,40,보더콜리,2020-06-29 09:26,"29,114",376,1
죽은 여친이 그리운 남자.JPG,7,여우o코코,2020-06-29 09:25,"46,166",735,0
"후방, 스압) 은혜갚은(?) 꿩",43,정신차려보니폭식,2020-06-29 09:21,"32,213",289,0
얘두라 탄 고기 먹으면 암 걸린대 ㅠㅠㅠㅠ,63,가로쉬님,2020-06-29 09:21,"34,891",572,0
07년생 수다방에 들어간 95년생,36,불쾌맨,2020-06-29 09:00,"36,133",495,0
게이머 결혼 전후.JPG,8,나의비밀정원,2020-06-29 08:51,"44,803",407,0
현재 대자 상황,13,두두닥지o,2020-06-29 08:51,"42,897",676,1
인도 중국 전쟁 한짤 요약.GIF,33,브로메테우스,2020-06-29 08:45,"44,343",483,0
방금 도서관에서 통화하던 놈한테 닥치라고 했음.jpg,9,야부키나코짱,2020-06-29 08:45,"33,231",485,0
(약후?)형이라 부르는 여자,43,불건전한대화명10,2020-06-29 08:40,"34,864",454,0
해바라기 냄새만 맡아도 굴러가는 차.Tesla,23,태랑 ,2020-06-29 08:34,"35,722",288,0
시선이 느껴지는 만화.Manhwa,34,정학걸스데이체고시다,2020-06-29 08:17,"23,661",289,0
일본의 지하철 빌런.mp4,40,소련의기술력세계제일,2020-06-29 08:17,"32,554",233,0
넷플릭스 애니 수준;;,40,용드,2020-06-29 08:14,"48,291",665,0
최저임금도 못주는 막장 음식점.jpg,14,박다혜,2020-06-29 08:14,"39,037",434,0
너 여드름났네?,35,용드,2020-06-29 08:04,"24,579",251,0
개드립에 나타난 레전드,36,야근요정도요정이야,2020-06-29 07:58,"28,858",296,2
컴플레인에 단호하게 대처하는 명수옹 .jpg,14,희희짠,2020-06-29 07:51,"40,765",455,1
원피스 최강자 되는방법.,30,마리텔,2020-06-29 07:31,"30,950",347,0
디지몬 한국 방영 20주년 기념 펀딩 대참사.jpg,69,재담꾼,2020-06-29 07:20,"31,268",406,0
골목식당 서산 호떡집 근황,46,후추추추,2020-06-29 06:58,"70,098",921,0
난 ㅈㄴ 이성애자야,16,오븐치킨,2020-06-29 06:53,"32,719",361,0
오늘부로 PC선언한 초대형 인터넷 사이트.site,33,태랑 ,2020-06-29 06:53,"45,110",454,0
내가 다니는 체육관 관장님이 패륜아에다가 미친놈인 것 같다 ㄷㄷ,26,할이름이없네,2020-06-29 06:37,"32,453",275,6
꼬부기 친구 생일선물로 산삼선물해줌 +후기,15,꼬부기뇽,2020-06-29 06:08,"28,762",283,3
"""자는 동안 '해외결제' 문자 수십통""…애플은 '모르쇠'",92,중앙일보사장,2020-06-29 06:06,"30,964",396,16
(약후) 요즘 유행이라는 영상 콘텐츠.gif,60,Spinus,2020-06-29 05:57,"51,383",243,1
일본차 안 사는 이유,42,웃대뉴비2,2020-06-29 05:24,"51,075",516,0
요즘 고음 연습하고있는데 평가 좀 해주세용!!,105,박다혜,2020-06-29 04:58,"26,491",241,5
남자친구랑 헤어진 다양한 이유 .jpg,42,희희짠,2020-06-29 04:58,"43,063",238,1
상상 가능한 진상은 진짜 진상이 아니다.jpg,22,태랑 ,2020-06-29 04:51,"30,997",427,0
모델비율 걸그룹 사이에 청하가 끼면.jpg,20,불쾌맨,2020-06-29 04:28,"58,571",752,0
흥선대원군 본명이 뭐가 어쨌다고 그래,24,아조씨와비밀친구,2020-06-29 04:15,"32,762",370,0
상어 수영복.jpg,19,메멜 ,2020-06-29 03:53,"47,668",360,0
파맛첵스 근황.jpg,37,용드,2020-06-29 03:46,"47,033",519,0
드레곤이 햄버거 먹는.manhwa,31,불쾌맨,2020-06-29 03:41,"21,458",248,1
(약후) 호불호 갈리는 아버지 이름.jpg,14,기룡,2020-06-29 03:40,"45,180",511,1
이맘때쯤 다시 보는 대륙의 워터파크gif,30,앵쯔o,2020-06-29 03:29,"39,898",405,0
모발이식했는데 뒤지게 아프다 ㅅㅂ..,46,뜨거운두부 ,2020-06-29 03:23,"31,954",324,0
국산 아동애니 신작 발표.jpg,48,태랑 ,2020-06-29 03:18,"34,931",284,0
온라인 수업의 현실 .jpg,18,희희짠,2020-06-29 03:12,"41,037",331,0
런닝맨 초능력 대결 중 지나가는 시민.mp4,21,유도희o ,2020-06-29 03:08,"37,762",572,0
여자 둘이서 고래! 게임 하는 만화.Manhwa,6,정학걸스데이체고시다,2020-06-29 02:58,"21,856",302,0
과연 얼굴이 못생겨서 여자를 못 사귀는 걸까?.JPG,125,한형,2020-06-29 02:53,"34,645",462,3
좆기�� 중력 100배 체험 시켜줌 ㅋㅋㅋㅋ,16,야생의숨결,2020-06-29 02:47,"38,553",345,0
"조선시대 주막, 12만개 있었다.jpg",49,아오치,2020-06-29 02:33,"41,288",593,0
끔찍한 룸메 암살법.jpg,8,용드,2020-06-29 02:30,"46,428",557,0
??? : 꼬우면 직접 잡아서 드세요.jpg,53,Spinus,2020-06-29 02:23,"33,069",257,0
낼 입소하는데 합성점여,24,최hoo족point,2020-06-29 02:20,"31,263",319,0
굉장히 화끈한 불호의 몸매.jpg,17,Spinus,2020-06-29 02:13,"38,720",189,0
여고생이 임산부석에 앉으려는.manhwa,17,흠트레스팅,2020-06-29 02:09,"35,054",543,9
연어회.jpg,42,Spinus,2020-06-29 02:08,"29,088",302,0
나도 웃자 가볼래,44,직지신체요절단,2020-06-29 02:08,"9,520",88,1
누나 선풍기 페티쉬 있어.JPG,9,차세대기린아,2020-06-29 02:06,"40,565",366,0
내가 본 역대급 속시원한 모기갤러리 글.gif,18,9탄만줍는놈,2020-06-29 02:00,"29,485",299,0
끔찍한 기증사례.jpg,56,태랑 ,2020-06-29 01:50,"54,705",963,0
양준혁이 결혼 전 정리해야 하는 것,35,냐용이양,2020-06-29 01:46,"44,363",544,0
언니의 술버릇.JPG,12,안수정,2020-06-29 01:38,"37,043",369,0
차량털이범 결국 제가 잡았습니다,29,동물좋아,2020-06-29 01:35,"29,402",336,0
형한테 유전자 몰빵당한 디씨인 .jpg,19,희희짠,2020-06-29 01:34,"39,285",243,0
죽어도 의대에 가겠다는 5수생 딸.JPG,100,한형,2020-06-29 01:14,"49,796",597,0
드레이븐주의)호불호 개 극심하게 갈리는 말투.jpg,89,코없는코끼리,2020-06-29 01:13,"42,049",606,0
헬스장 로고만들려고 하는데 도와주세요 수정후 글씀,47,송추낙지달려,2020-06-29 01:06,"22,777",170,8
고양이를 돌보는 원숭이.jpg,27,박다혜,2020-06-29 00:58,"25,397",207,0
10살짜리 여자애한테 고백하는 만화.Manhwa,18,정학걸스데이체고시다,2020-06-29 00:58,"25,056",405,0
트럼프 도게자 만화 근황.jpg,14,용드,2020-06-29 00:57,"21,797",264,0
월세 55만원 제주도 7평 원룸.jpg,83,태랑 ,2020-06-29 00:54,"47,434",442,0
벗으면 반하겠어! .manhwa,22,흠트레스팅,2020-06-29 00:41,"27,887",334,0
딸방에서 마약을 발견한 어머님.jpg,24,재담꾼,2020-06-29 00:36,"37,183",330,0
비의 패션 흑역사.mp4,16,유도희o ,2020-06-29 00:34,"37,218",432,0
조폭이 아이돌 되는 만화.Manhwa,19,정학걸스데이체고시다,2020-06-29 00:32,"27,050",347,0
해장국집 고양이,35,amalarva,2020-06-29 00:23,"25,485",185,1
강호동과의 첫 술자리에서 추방 당한 박영진.jpg,17,유도희o ,2020-06-29 00:15,"36,802",387,0
항해 하다가 빙산 보면 무조건 피해야하는 이유.JPG,25,안수정,2020-06-29 00:04,"40,653",389,0
“강호동이랑 싸우면 이긴다.” 정찬성 발언 비하인드,26,n년째다이어트,2020-06-29 00:04,"44,516",722,0
웃대 시스템중에 약간 오해 부를만한게,42,팬아메리칸항공,2020-06-29 00:04,"23,776",420,0
왕따 당하던 때 기억에 남는 선생님 .jpg,20,희희짠,2020-06-28 23:58,"30,204",255,0
햄버거 좋아하냐,25,쿵포,2020-06-28 23:55,"23,367",225,2
지면 죽는 사형수 야구팀.jpg,28,유도희o ,2020-06-28 23:51,"52,132",727,0
선풍기로 에어컨 효과 내는 법.JPG,23,나의비밀정원,2020-06-28 23:44,"39,860",525,0
해외에서 발견된 크림치즈,14,후추추추,2020-06-28 23:43,"41,127",460,0
선풍기로 더위 나던 그 시절 지하철.jpg,23,박다혜,2020-06-28 23:35,"29,402",229,1
여친이 전여친에 대해 물어볼 때의 올바른 대처법.jpg,73,흠트레스팅,2020-06-28 23:32,"86,573",1306,0
스마트선풍기의 장점.JPG,9,안수정,2020-06-28 23:30,"42,096",462,0
추운날 햄찌가 밥 먹는 방법.JPG,16,안수정,2020-06-28 23:28,"34,178",395,0
외계인 시점에서 본 인류.JPG,51,kurase,2020-06-28 23:19,"42,072",399,0
애니프사가 말하는 군대 명언 .jpg,56,희희짠,2020-06-28 23:19,"34,789",354,0
어제 투신하는 사람을 봤는데.. 잘 잊혀지지가 않는다;,46,돌프냐,2020-06-28 23:13,"32,633",486,1
얼굴 이쁜거? 다 한때 뿐입니다 . JPG,31,용드,2020-06-28 23:12,"39,754",265,0
아즈텍에 대한 주변 부족들이 마음,38,후추추추,2020-06-28 23:02,"34,167",391,1
"의정부의 명물, 천보산 폭포를 아시나요?.gif",25,초코맛된장 ,2020-06-28 22:59,"34,571",284,0
흡연자의 애환.jpg,38,닥스환트,2020-06-28 22:59,"33,782",375,1
""" 곧 있으면 집사가 분유를 가져올 겁니다..! """,15,용드,2020-06-28 22:52,"30,226",479,0
빙그레 SNS 마케팅 근황,64,용드,2020-06-28 22:50,"79,614",1019,0
한국인이 또 게임 신기록 세움 .jpg,21,희희짠,2020-06-28 22:39,"54,684",465,0
거쳐간 반려견이 50마리라는 지상렬 .jpg,37,희희짠,2020-06-28 22:37,"48,863",861,1
그라브락스 숙성 연어.jpg,34,Spinus,2020-06-28 22:37,"33,941",272,0
내게 등을 보이다니 무르구나 집사!! .jpgg,18,스푸키o ,2020-06-28 22:35,"36,925",324,0
성희롱 사건으로 인사과에 불려내려온 물리학자 . JPG,61,한형,2020-06-28 22:31,"59,649",661,0
상급닌자 테스트 목검 피하기.mp4,42,박다혜,2020-06-28 22:27,"53,206",538,0
애드라 나 생..ㅇ리,23,귀여운여자아이,2020-06-28 22:21,"17,069",121,0
주당계 퇴물이 된 지상렬 .jpg,22,희희짠,2020-06-28 22:11,"40,644",416,0
그리핀도르 기숙사의 숨겨진 체스 챔피언 론위즐리 . JPG,23,용드,2020-06-28 22:10,"31,632",474,0
가게 앞 동백나무 훔쳐간 사람 참교육 어떻게 시켜야할까요,68,이게나라냐옹,2020-06-28 22:10,"45,265",812,0
